2024-03-17 18:29:22,319 INFO    Thread-95 :70251 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-03-17 18:29:22,320 INFO    Thread-95 :70251 [wandb_setup.py:_flush():76] Configure stats pid to 70251
2024-03-17 18:29:22,320 INFO    Thread-95 :70251 [wandb_setup.py:_flush():76] Loading settings from /home/blaineh2/.config/wandb/settings
2024-03-17 18:29:22,320 INFO    Thread-95 :70251 [wandb_setup.py:_flush():76] Loading settings from /home/blaineh2/ScoreMatchingDiffKG/embedding_model/wandb/settings
2024-03-17 18:29:22,320 INFO    Thread-95 :70251 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'notebook_name': 'embedding_model.ipynb', 'project': 'ScoreMatchingDiffKG_Embedding_Sweep', 'entity': 'bthill1', 'root_dir': '/home/blaineh2/ScoreMatchingDiffKG/embedding_model', 'run_id': 'qwzu2155', 'sweep_param_path': '/home/blaineh2/ScoreMatchingDiffKG/embedding_model/wandb/sweep-56fjn4vj/config-qwzu2155.yaml', 'sweep_id': '56fjn4vj'}
2024-03-17 18:29:22,320 INFO    Thread-95 :70251 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-17 18:29:22,320 INFO    Thread-95 :70251 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-03-17 18:29:22,320 INFO    Thread-95 :70251 [wandb_init.py:_log_setup():526] Logging user logs to /home/blaineh2/ScoreMatchingDiffKG/embedding_model/wandb/run-20240317_182922-qwzu2155/logs/debug.log
2024-03-17 18:29:22,320 INFO    Thread-95 :70251 [wandb_init.py:_log_setup():527] Logging internal logs to /home/blaineh2/ScoreMatchingDiffKG/embedding_model/wandb/run-20240317_182922-qwzu2155/logs/debug-internal.log
2024-03-17 18:29:22,320 INFO    Thread-95 :70251 [wandb_init.py:_jupyter_setup():472] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7fbb850f3eb0>
2024-03-17 18:29:22,320 INFO    Thread-95 :70251 [wandb_init.py:init():566] calling init triggers
2024-03-17 18:29:22,320 INFO    Thread-95 :70251 [wandb_init.py:init():573] wandb.init called with sweep_config: {'batch_size': 500, 'epochs': 500, 'hidden_channels': 75, 'k': 10, 'lr': 1.0074143751588187, 'weight_decay': 1e-06}
config: {}
2024-03-17 18:29:22,320 INFO    Thread-95 :70251 [wandb_init.py:init():616] starting backend
2024-03-17 18:29:22,320 INFO    Thread-95 :70251 [wandb_init.py:init():620] setting up manager
2024-03-17 18:29:22,324 INFO    Thread-95 :70251 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-03-17 18:29:22,324 INFO    Thread-95 :70251 [wandb_init.py:init():628] backend started and connected
2024-03-17 18:29:22,330 INFO    Thread-95 :70251 [wandb_run.py:_config_callback():1343] config_cb None None {'batch_size': 500, 'epochs': 500, 'hidden_channels': 75, 'k': 10, 'lr': 1.0074143751588187, 'weight_decay': 1e-06}
2024-03-17 18:29:22,333 INFO    Thread-95 :70251 [wandb_run.py:_label_probe_notebook():1295] probe notebook
2024-03-17 18:29:22,335 INFO    Thread-95 :70251 [wandb_init.py:init():720] updated telemetry
2024-03-17 18:29:22,375 INFO    Thread-95 :70251 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-03-17 18:29:22,692 INFO    Thread-95 :70251 [wandb_run.py:_on_init():2262] communicating current version
2024-03-17 18:29:22,767 INFO    Thread-95 :70251 [wandb_run.py:_on_init():2271] got version response upgrade_message: "wandb version 0.16.4 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-03-17 18:29:22,767 INFO    Thread-95 :70251 [wandb_init.py:init():804] starting run threads in backend
2024-03-17 18:29:27,052 INFO    Thread-95 :70251 [wandb_run.py:_console_start():2241] atexit reg
2024-03-17 18:29:27,052 INFO    Thread-95 :70251 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-03-17 18:29:27,052 INFO    Thread-95 :70251 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-03-17 18:29:27,053 INFO    Thread-95 :70251 [wandb_run.py:_redirect():2186] Redirects installed.
2024-03-17 18:29:27,053 INFO    Thread-95 :70251 [wandb_init.py:init():847] run started, returning control to user process
2024-03-17 18:29:27,091 INFO    Thread-95 :70251 [wandb_watch.py:watch():51] Watching
2024-03-17 18:58:06,143 INFO    Thread-95 :70251 [wandb_run.py:_finish():1970] finishing run bthill1/ScoreMatchingDiffKG_Embedding_Sweep/qwzu2155
2024-03-17 18:58:06,144 ERROR   Thread-95 :70251 [jupyter.py:save_history():437] Run pip install nbformat to save notebook history
2024-03-17 18:58:06,144 INFO    Thread-95 :70251 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-03-17 18:58:06,144 INFO    Thread-95 :70251 [wandb_init.py:_jupyter_teardown():454] cleaning up jupyter logic
2024-03-17 18:58:06,144 INFO    Thread-95 :70251 [wandb_run.py:_atexit_cleanup():2210] got exitcode: 0
2024-03-17 18:58:06,144 INFO    Thread-95 :70251 [wandb_run.py:_restore():2193] restore
2024-03-17 18:58:06,144 INFO    Thread-95 :70251 [wandb_run.py:_restore():2199] restore done
2024-03-17 18:58:10,500 INFO    Thread-95 :70251 [wandb_run.py:_footer_history_summary_info():3866] rendering history
2024-03-17 18:58:10,501 INFO    Thread-95 :70251 [wandb_run.py:_footer_history_summary_info():3898] rendering summary
2024-03-17 18:58:10,505 INFO    Thread-95 :70251 [wandb_run.py:_footer_sync_info():3825] logging synced files
