
Epoch: 000, Train Loss: 1.5470
Epoch: 001, Train Loss: 1.5314
Epoch: 002, Train Loss: 1.5219
Epoch: 003, Train Loss: 1.5145
Epoch: 004, Train Loss: 1.5083
Epoch: 005, Train Loss: 1.5030
Epoch: 006, Train Loss: 1.4984
Epoch: 007, Train Loss: 1.4942
Epoch: 008, Train Loss: 1.4903
Epoch: 009, Train Loss: 1.4869
Epoch: 010, Train Loss: 1.4836



100%|██████████| 535/535 [00:07<00:00, 72.83it/s]
Val Mean Rank: 4747.71, Val Mean Reciprocal Rank: 0.00, Val Hits@10: 0.0037
Epoch: 011, Train Loss: 1.4806
Epoch: 012, Train Loss: 1.4777
Epoch: 013, Train Loss: 1.4751
Epoch: 014, Train Loss: 1.4725
Epoch: 015, Train Loss: 1.4702
Epoch: 016, Train Loss: 1.4679
Epoch: 017, Train Loss: 1.4658
Epoch: 018, Train Loss: 1.4638
Epoch: 019, Train Loss: 1.4617
Epoch: 020, Train Loss: 1.4599



 96%|█████████▌| 514/535 [00:07<00:00, 70.07it/s]

100%|██████████| 535/535 [00:07<00:00, 70.10it/s]
Epoch: 021, Train Loss: 1.4581
Epoch: 022, Train Loss: 1.4564
Epoch: 023, Train Loss: 1.4547
Epoch: 024, Train Loss: 1.4531
Epoch: 025, Train Loss: 1.4516
Epoch: 026, Train Loss: 1.4500
Epoch: 027, Train Loss: 1.4486
Epoch: 028, Train Loss: 1.4473
Epoch: 029, Train Loss: 1.4459
Epoch: 030, Train Loss: 1.4445


 94%|█████████▍| 502/535 [00:06<00:00, 70.42it/s]

100%|██████████| 535/535 [00:07<00:00, 74.84it/s]
Epoch: 031, Train Loss: 1.4432
Epoch: 032, Train Loss: 1.4421
Epoch: 033, Train Loss: 1.4408
Epoch: 034, Train Loss: 1.4397
Epoch: 035, Train Loss: 1.4386
Epoch: 036, Train Loss: 1.4375
Epoch: 037, Train Loss: 1.4364
Epoch: 038, Train Loss: 1.4354
Epoch: 039, Train Loss: 1.4343
Epoch: 040, Train Loss: 1.4333



 94%|█████████▍| 505/535 [00:06<00:00, 74.83it/s]

100%|██████████| 535/535 [00:07<00:00, 74.21it/s]
Epoch: 041, Train Loss: 1.4324
Epoch: 042, Train Loss: 1.4314
Epoch: 043, Train Loss: 1.4305
Epoch: 044, Train Loss: 1.4296
Epoch: 045, Train Loss: 1.4286
Epoch: 046, Train Loss: 1.4279
Epoch: 047, Train Loss: 1.4270
Epoch: 048, Train Loss: 1.4264
Epoch: 049, Train Loss: 1.4254
Epoch: 050, Train Loss: 1.4248



 94%|█████████▍| 504/535 [00:06<00:00, 73.26it/s]

100%|██████████| 535/535 [00:07<00:00, 72.73it/s]
Epoch: 051, Train Loss: 1.4239
Epoch: 052, Train Loss: 1.4232
Epoch: 053, Train Loss: 1.4224
Epoch: 054, Train Loss: 1.4217
Epoch: 055, Train Loss: 1.4211
Epoch: 056, Train Loss: 1.4204
Epoch: 057, Train Loss: 1.4196
Epoch: 058, Train Loss: 1.4190
Epoch: 059, Train Loss: 1.4183
Epoch: 060, Train Loss: 1.4177



 92%|█████████▏| 490/535 [00:06<00:00, 74.14it/s]

100%|██████████| 535/535 [00:07<00:00, 72.71it/s]
Epoch: 061, Train Loss: 1.4171
Epoch: 062, Train Loss: 1.4165
Epoch: 063, Train Loss: 1.4158
Epoch: 064, Train Loss: 1.4154
Epoch: 065, Train Loss: 1.4145
Epoch: 066, Train Loss: 1.4141
Epoch: 067, Train Loss: 1.4135
Epoch: 068, Train Loss: 1.4130
Epoch: 069, Train Loss: 1.4125
Epoch: 070, Train Loss: 1.4119



 98%|█████████▊| 526/535 [00:07<00:00, 71.70it/s]

100%|██████████| 535/535 [00:07<00:00, 73.70it/s]
Epoch: 071, Train Loss: 1.4115
Epoch: 072, Train Loss: 1.4109
Epoch: 073, Train Loss: 1.4103
Epoch: 074, Train Loss: 1.4100
Epoch: 075, Train Loss: 1.4094
Epoch: 076, Train Loss: 1.4089
Epoch: 077, Train Loss: 1.4085
Epoch: 078, Train Loss: 1.4080
Epoch: 079, Train Loss: 1.4076
  6%|▌         | 32/535 [00:00<00:06, 71.90it/s]



 90%|█████████ | 484/535 [00:06<00:00, 72.60it/s]

100%|██████████| 535/535 [00:07<00:00, 74.69it/s]
Epoch: 081, Train Loss: 1.4066
Epoch: 082, Train Loss: 1.4062
Epoch: 083, Train Loss: 1.4058
Epoch: 084, Train Loss: 1.4053
Epoch: 085, Train Loss: 1.4050
Epoch: 086, Train Loss: 1.4046
Epoch: 087, Train Loss: 1.4042
Epoch: 088, Train Loss: 1.4036
Epoch: 089, Train Loss: 1.4033
Epoch: 090, Train Loss: 1.4029



 89%|████████▊ | 474/535 [00:06<00:00, 69.49it/s]

